Descrição;Qtd Entr;Vlr Entr;Qtd Saídas;Vlr Saídas;R$ Atual
CROISSANT CHOCOLATE ARTE PAO KG;10,000;212,58;0,000;0,00;49,99
CROISSANT FRANGO E REQUEIJAO ARTE;10,000;265,72;0,000;0,00;49,99
CROISSANT PRESUNTO E  QUEIJO ARTE;10,000;265,72;0,000;0,00;49,99
CROISSANT QUEIJO ARTE PAO KG;10,000;265,72;0,000;0,00;49,99
CROISSANT RICOTA ARTE PAO KG;10,000;212,58;0,000;0,00;49,99
CUSCUZ ARTE PAO KG;10,000;85,03;0,910;29,94;32,90
DONUTS ARTE PAO KG;0,000;0,00;3,624;108,38;29,90
DONUTS BEIJINHO ARTE PAO KG;10,000;85,03;0,000;0,00;29,90
EMPADA  FRANGO C/REQUEIJAO ARTE PAO;20,000;255,10;30,768;1.414,68;45,99
EMPADAO  FRANGO C/REQUEIJAO ARTE;30,000;382,64;0,000;0,00;45,99
ESFIRRA DE CARNE ARTE PAO KG;15,000;191,32;3,982;170,83;42,90
FARINHA DE ROSCA ARTE PAO KG;10,000;68,03;11,160;222,00;19,90
FOCACIA ARTE PAO KG;10,000;185,90;0,000;0,00;42,99
GOIABINHA ARTE PAO KG;0,000;0,00;0,426;14,02;32,90
HAMBURGAO ARTE PAO KG;20,000;223,21;8,024;434,00;54,09
MANTEGUINHA ARTE PAO KG;15,000;191,32;5,474;191,12;34,90
MARIA MOLE ARTE PAO KG;10,000;127,55;3,332;116,29;34,90
MARTA ROCHA ARTE PAO KG;10,000;127,55;0,000;0,00;29,99
MASSA FOLHADA DE FRANGO ARTE PAO KG;15,000;398,59;2,388;119,40;49,99
MASSA FOLHADA DE SALSICHA ARTE PAO;10,000;265,72;0,502;25,10;49,99
MENTIRA  DOCE ARTE PAO KG;0,000;0,00;9,307;278,22;29,90
MINI CHOCOTONE ARTE PAO KG;10,000;85,03;0,000;0,00;25,99
MINI PIZZA  CALABRESA+MUSS ARTE PAO;20,000;382,64;14,358;615,90;42,90
MINI PIZZA BACON+MUSS ARTE PAO KG;20,000;382,64;1,090;46,76;42,90
MINI PIZZA FRANGO+MUSS ARTE PAO KG;25,000;478,30;12,320;528,52;42,90
MINI PIZZA LOMBO+MUSS ARTE PAO KG;20,000;382,64;0,000;0,00;42,90
MINI PIZZA MUSSARELA  ARTE PAO KG;20,000;382,64;0,000;0,00;42,90
MINI PIZZA PRESUNTO ARTE PAO KG;15,000;286,98;0,000;0,00;42,90
MINI PIZZA SALAMIMHOARTE PAO KG;15,000;286,98;0,000;0,00;42,90
MINI SONHO ARTE PAO KG;15,000;191,32;0,000;0,00;34,90
PALHA ITALIANA ARTE PAO KG;15,000;244,57;2,206;110,30;49,99
PALHA ITALIANA BRANCA  ARTE PAO KG;10,000;159,44;0,202;12,10;49,99
PANETONE ARTE PAO KG;10,000;72,38;0,000;0,00;39,90
PAO BATATA C/ CALABRESA ARTE PAO KG;25,000;425,16;5,866;251,65;42,90
PAO BATATA C/ FRANGO ARTE PAO KG;25,000;425,16;5,778;247,90;42,90
PAO BATATA C/ RICOTA ARTE PAO KG;15,000;255,10;0,000;0,00;42,90
PAO BATATA PRESUNTO QUEIJO ARTE PAO;25,000;425,16;7,036;301,84;42,90
PAO BATATA SALSICHA BACON ARTE PAO;25,000;425,16;4,474;191,90;42,90
PAO C/PATE DE FRANGO ARTE PAO KG;0,000;0,00;0,716;25,69;35,89
PAO CASEIRO ARTE PAO KG;25,000;161,02;0,000;0,00;33,90
PAO CEARENSE ARTE PAO KG;20,000;127,33;33,665;1.141,27;33,90
PAO CHINES ARTE PAO KG;20,000;255,10;2,098;71,14;33,90
PAO DE AIPIM ARTE PAO KG;10,000;127,55;0,000;0,00;34,90
PAO DE BATATA  ARTE PAO KG;25,000;318,87;1,598;55,74;34,90
PAO DE CEBOLA ARTE PAO KG;20,000;255,10;1,326;46,31;34,90
PAO DE CENOURA ARTE PAO KG;20,000;255,10;1,320;46,09;34,90
PAO DE FORMA ARTE PAO KG;20,444;152,50;117,379;2.101,21;17,90
PAO DE MEL ARTE PAO KG;10,000;127,55;0,000;0,00;29,99
PAO DOCE COMUM ARTE PAO UN;85,000;206,42;886,000;1.240,40;22,78
PAO DOCE DORMIDO ARTE PAO KG;10,000;127,55;40,141;528,45;15,99
PAO DOCE ESP. GOIABADA  ARTE PAO UN;0,000;0,00;32,000;56,00;1,75
PAO DOCE ESPECIAL CEREJA ARTE PAO KG;15,000;239,15;0,000;0,00;24,99
PAO DOCE ESPECIAL CEREJA ARTE PAO UN;0,000;0,00;91,000;162,89;1,79
PAO DOCE QUADRADO ARTE PAO KG;10,000;127,55;0,000;0,00;15,99
PAO DOCE TRADICONAL ARTE PAO KG;10,000;69,09;0,000;0,00;21,49
PAO FRANCES DORMIDO ARTE PAO KG;10,000;68,03;6,440;83,08;12,90
PAO HAMBURGER ARTE PAO  KG;30,000;382,65;31,133;1.024,25;32,90
PAO HAMBURGER C/ GERGELIM ARTE PAO;20,000;255,10;12,863;424,37;32,99
PAO HAMBURGER GERGELIM TM90 ARTE;0,000;0,00;12,792;420,87;32,90
PAO HOT DOG ARTE PAO KG;20,362;267,01;76,952;2.531,81;32,90
PAO MILHO DE G&Z ARTE PAO KG;15,000;191,32;0,570;19,89;34,90
PAO MINI HAMBURGER ARTE PAO KG;20,000;255,10;4,288;141,06;32,90
PAO MINI HOT DOG ARTE PAO KG;20,000;255,10;25,756;847,34;32,90
PAO MINUTO ARTE PAO KG;10,000;127,55;3,044;100,15;32,90
PAO P/ TORTA SEM CASCA ARTE PAO KG;10,000;127,55;7,088;190,68;26,90
PAO PETROPOLES ARTE PAO KG;20,000;255,10;22,006;724,01;32,90
PAO SIRIO ARTE PAO KG;10,000;127,55;0,000;0,00;32,90
PAO SOVADO ARTE PAO KG;20,000;255,10;20,084;660,77;32,90
PAO TATU ARTE PAO KG;15,000;191,32;2,991;98,40;32,90
PAO TATU ESPECIAL ARTE PAO UN;0,000;0,00;26,000;46,54;1,79
PAO TRANCA RAINHA ARTE PAO KG;15,000;191,32;4,554;149,84;32,90
PE DE MOLEQUE ARTE PAO KG;10,000;159,44;0,000;0,00;49,90
PIZZA  CALABRESA ARTE PAO KG;15,000;264,34;2,378;102,01;42,90
PIZZA BACON ARTE PAO KG;10,000;176,22;0,000;0,00;42,90
PIZZA DA CASA PROMOCIONAL  ARTE PAO;2,000;29,80;78,000;1.162,20;14,90
PIZZA FRANGO+MUSS ARTE PAO KG;15,000;264,34;1,906;81,77;42,90
PIZZA LOMBO+MUSS ARTE PAO KG;15,000;264,34;0,426;18,28;42,90
PIZZA MISTA PRES+MUSS ARTE PAO KG;15,000;264,34;0,000;0,00;42,90
PIZZA MUSSARELA  ARTE PAO KG;10,000;176,22;0,000;0,00;42,90
PIZZA SALAMINHO+MUSS ARTE PAO KG;10,000;176,22;0,000;0,00;47,90
PUDIM  LEITE CONDENSADO ARTE PAO KG;10,000;127,55;0,000;0,00;36,99
PUDIM CACAROLA ARTE PAO KG;10,000;127,55;0,000;0,00;36,99
QUEIJADINHA ARTE PAO KG;10,000;127,55;0,130;5,85;44,99
QUICHE PALMITO ARTE PAO KG;10,000;127,55;0,000;0,00;55,90
QUINDIM ARTE PAO KG;10,000;96,30;0,242;7,96;32,90
RABANADA ARTE PAO KG;10,000;127,55;0,000;0,00;29,90
ROCAMBOLE CHOCOLATE ARTE PAO KG;20,000;255,10;0,000;0,00;39,90
ROCAMBOLE DOCE DE LEITE ARTE PAO KG;10,000;127,55;2,057;82,10;39,90
ROCAMBOLE GOIABADA ARTE PAO KG;10,000;127,55;1,162;46,37;39,90
ROCAMBOLE LEITE NINHO ARTE PAO KG;10,000;127,55;0,000;0,00;39,90
ROCAMBOLE SALGADO DE FRANGO ARTE;10,000;127,55;0,000;0,00;39,99
ROMEU E JULIETA ARTE PAO KG;10,000;127,55;0,000;0,00;39,90
SALGADO CALABRESA ARTE PAO KG;10,000;159,44;0,000;0,00;39,99
SALGADO FRANGO ARTE PAO KG;10,000;159,44;0,000;0,00;39,99
SALGADO PRESUNTO QUEIJO ARTE PAO KG;10,000;159,44;0,000;0,00;39,99
SALGADO RICOTA C/CENOURA ARTE PAO;10,000;159,44;0,000;0,00;39,99
SALGADO SALSICHA ARTE PAO KG;10,000;159,44;0,000;0,00;39,99
SAMANTILHA ARTE PAO KG;10,000;105,12;0,000;0,00;28,49
SANDUICHE  FRANGO ARTE PAO KG;10,000;156,25;11,495;527,63;45,90
SONHO ARTE PAO KG;10,000;127,55;2,808;98,00;34,90
SUSPIRO ARTE PAO KG;10,000;127,55;0,000;0,00;35,60
TORRADA AO NATURAL ARTE PAO KG;10,000;73,34;0,000;0,00;29,99
TORRADA C/ OREGANO ARTE PAO KG;10,000;73,34;0,000;0,00;29,99
TORRADA C/MANTEIGA ARTE PAO KG;10,000;73,34;0,000;0,00;29,99
TORTA DE LIMAO ARTE PAO KG;10,000;127,55;0,000;0,00;39,90
TORTA PAO C/FRANGO ARTE PAO KG;25,000;318,87;70,476;2.459,63;34,90
 TORTA SALGADA DE FRANGO ARTE PAO KG;10,000;127,55;8,854;224,41;34,90
